City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Taoudenni,ML,22.6783,-3.9836,96.67,9,16,4.34,few clouds
215,Simplicio Mendes,BR,-7.8539,-41.9103,96.31,21,67,6.85,broken clouds
216,Umba,RU,66.6871,34.3429,46.81,89,100,8.77,overcast clouds
217,Fort-Shevchenko,KZ,44.5086,50.263,55.47,42,82,17.16,broken clouds
218,Liverpool,GB,53.4106,-2.9779,52.34,88,75,1.01,broken clouds
219,Alushta,UA,44.6667,34.4167,59.54,73,87,9.46,overcast clouds
220,Lompoc,US,34.6391,-120.4579,94.78,44,0,4.0,clear sky
221,Havelock,US,34.8791,-76.9013,81.99,66,40,5.99,scattered clouds
222,Flinders,AU,-34.5833,150.8552,56.8,92,2,1.01,clear sky
223,Grand Gaube,MU,-20.0064,57.6608,73.38,73,36,5.99,light rain
224,Saldanha,ZA,-33.0117,17.9442,51.85,58,8,20.04,clear sky
225,Diego De Almagro,CL,-26.3667,-70.05,74.35,15,0,12.33,clear sky
226,Kaitangata,NZ,-46.2817,169.8464,52.93,81,100,3.6,overcast clouds
227,Castelo Branco,PT,39.8222,-7.4909,65.79,75,100,9.17,overcast clouds
228,San Cristobal,VE,7.7669,-72.225,84.38,46,8,6.91,clear sky
229,Albina,SR,5.5,-54.05,81.86,83,99,4.18,overcast clouds
230,Mukhen,RU,48.1,136.1,38.03,88,4,5.19,clear sky
231,Okhotsk,RU,59.3833,143.3,36.79,74,96,11.03,overcast clouds
232,Udachnyy,RU,66.4167,112.4,27.99,65,91,2.06,overcast clouds
233,Terrace,CA,54.5163,-128.6035,48.11,87,75,19.57,light rain
234,Kologriv,RU,58.8275,44.3178,44.08,93,100,2.21,overcast clouds
235,Skelleftea,SE,64.7507,20.9528,48.56,87,40,8.05,scattered clouds
236,Cabo San Lucas,MX,22.8909,-109.9124,86.5,72,100,9.91,overcast clouds
237,Katangli,RU,51.7102,143.2326,38.95,83,6,9.62,clear sky
238,Tiksi,RU,71.6872,128.8694,24.51,89,60,14.99,broken clouds
239,Oranjemund,NA,-28.55,16.4333,56.28,70,0,19.39,clear sky
240,Izhmorskiy,RU,56.194,86.6414,30.94,95,100,9.01,overcast clouds
241,Tasiilaq,GL,65.6145,-37.6368,29.43,62,1,5.59,clear sky
242,Saint-Augustin,CA,51.226,-58.6502,47.21,94,99,13.42,overcast clouds
243,Broome,US,42.2506,-75.833,76.19,57,16,1.99,few clouds
244,Mahebourg,MU,-20.4081,57.7,73.26,83,75,13.8,broken clouds
245,Archidona,ES,37.0965,-4.3887,71.42,54,12,2.44,few clouds
246,Kuragino,RU,53.8975,92.6725,37.67,67,100,15.75,overcast clouds
247,Moses Lake,US,47.1301,-119.2781,66.18,30,63,5.59,broken clouds
248,Mar Del Plata,AR,-38.0023,-57.5575,62.87,61,0,11.99,light rain
249,Kargasok,RU,59.0556,80.8572,30.38,98,98,3.6,overcast clouds
250,Machaneng,BW,-23.1862,27.4886,75.47,44,43,3.49,scattered clouds
251,Lagoa,PT,39.05,-27.9833,70.95,91,95,17.16,overcast clouds
252,Talara,PE,-4.5772,-81.2719,74.16,60,0,17.27,clear sky
253,Chokurdakh,RU,70.6333,147.9167,5.0,98,47,4.12,scattered clouds
254,Russell,US,32.3502,-85.1999,84.79,69,77,6.33,broken clouds
255,Lavrentiya,RU,65.5833,-171.0,24.89,77,9,9.69,clear sky
256,Chuy,UY,-33.6971,-53.4616,62.22,67,0,8.23,clear sky
257,Monrovia,LR,6.3005,-10.7969,78.57,87,100,7.67,light rain
258,Luchegorsk,RU,46.4764,134.2569,38.79,77,8,3.2,clear sky
259,Porto Santo,PT,33.072,-16.3415,73.31,73,75,9.22,broken clouds
260,Road Town,VG,18.4167,-64.6167,86.04,70,20,13.8,few clouds
261,Gondar,ET,12.6,37.4667,57.79,76,99,6.06,overcast clouds
262,Maneadero,MX,31.7167,-116.5667,89.19,65,92,4.0,overcast clouds
263,Geraldton,AU,-28.7667,114.6,61.21,82,75,8.05,broken clouds
264,Shirgaon,IN,19.7,72.7,80.29,85,100,4.41,overcast clouds
265,Kushima,JP,31.4583,131.2333,72.12,75,0,3.98,clear sky
266,Lormi,IN,22.2833,81.7333,74.48,87,2,3.06,clear sky
267,Hami,CN,42.8,93.45,50.83,44,100,6.22,overcast clouds
268,Yatsuo,JP,36.5667,137.1333,59.67,83,0,5.01,clear sky
269,Karak,JO,31.1667,35.75,65.12,84,0,8.43,clear sky
270,Santa Cruz,BO,-17.8,-63.1667,96.85,38,75,23.02,broken clouds
271,Hasaki,JP,35.7333,140.8333,66.6,81,28,2.06,scattered clouds
272,Hanzhong,CN,33.0728,107.0303,70.84,91,53,1.92,broken clouds
273,Pangai,TO,-19.8,-174.35,75.58,84,100,25.08,overcast clouds
274,Ribeira Grande,PT,38.5167,-28.7,73.8,83,75,11.5,broken clouds
275,Praya,CV,14.9215,-23.5087,84.74,70,20,10.36,few clouds
276,Shalinskoye,RU,55.7228,93.7594,32.7,91,97,5.23,overcast clouds
277,Charleston,US,32.7766,-79.9309,81.21,88,40,1.99,light intensity drizzle
278,Ulladulla,AU,-35.35,150.4667,53.87,92,6,4.29,clear sky
279,Metro,ID,-5.1131,105.3067,74.32,90,38,3.96,scattered clouds
280,Sakakah,SA,29.9697,40.2064,87.37,24,0,7.54,clear sky
281,Bourail,NC,-21.5667,165.4833,72.81,83,19,4.99,few clouds
282,Kamaishi,JP,39.2667,141.8833,58.39,77,0,6.71,clear sky
283,Saint-Pierre,RE,-21.3393,55.4781,71.24,73,0,5.75,clear sky
284,Haradok,BY,55.4624,29.9816,47.26,80,100,7.34,light rain
285,Constitucion,CL,-35.3333,-72.4167,56.37,50,0,21.47,clear sky
286,Mount Gambier,AU,-37.8333,140.7667,51.71,100,90,9.22,overcast clouds
287,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,39,40,18.41,scattered clouds
288,Obo,CF,5.3998,26.4869,68.14,98,100,1.39,moderate rain
289,Aksha,RU,50.2814,113.2867,31.73,90,100,3.38,overcast clouds
290,Faanui,PF,-16.4833,-151.75,79.48,69,3,17.0,clear sky
291,Atherton,GB,53.5237,-2.4935,53.22,95,100,4.0,overcast clouds
292,Esperance,AU,-33.8667,121.9,53.44,74,61,26.26,broken clouds
293,Durango,MX,24.8333,-104.8333,73.4,44,100,5.86,overcast clouds
294,Hamilton,US,39.1834,-84.5333,81.23,88,100,4.54,overcast clouds
295,Ancud,CL,-41.8697,-73.8203,49.53,71,97,11.59,overcast clouds
296,Clyde River,CA,70.4692,-68.5914,41.23,81,90,17.27,overcast clouds
297,Beringovskiy,RU,63.05,179.3167,32.05,94,98,10.4,light snow
298,Wufeng,CN,27.45,104.8333,58.14,94,0,7.2,clear sky
299,Bayir,TR,37.2687,28.2167,63.12,46,0,4.25,clear sky
300,Helena,US,46.5927,-112.0361,75.25,40,44,4.0,scattered clouds
301,Tianpeng,CN,30.9866,103.9393,75.67,90,88,4.32,overcast clouds
302,Ballina,AU,-28.8667,153.5667,59.77,87,10,0.0,clear sky
303,Yenagoa,NG,4.9247,6.2642,76.48,93,100,4.14,overcast clouds
304,Acajutla,SV,13.5928,-89.8275,84.96,72,76,5.68,broken clouds
305,Pakokku,MM,21.3333,95.1,77.88,86,100,5.12,light rain
306,Kenai,US,60.5544,-151.2583,41.02,52,100,2.33,overcast clouds
307,Porto Novo,BJ,6.4965,2.6036,82.22,85,27,7.11,scattered clouds
308,Linjiang,CN,41.8069,126.9078,50.04,85,100,3.47,light rain
309,Kalmunai,LK,7.4167,81.8167,79.25,80,56,3.27,broken clouds
310,Mbandaka,CD,0.0487,18.2603,73.69,82,65,3.87,broken clouds
311,Ozernovskiy,RU,51.5,156.5167,49.21,85,100,13.11,light rain
312,San Pedro,PH,14.35,121.0167,80.1,86,90,3.44,overcast clouds
313,Tahta,EG,26.7693,31.5021,80.92,41,0,9.46,clear sky
314,Homer,US,59.6425,-151.5483,41.07,76,80,12.55,broken clouds
315,Necochea,AR,-38.5473,-58.7368,53.04,94,100,12.8,light rain
316,Broken Hill,AU,-31.95,141.4333,60.51,48,75,11.5,broken clouds
317,Shihezi,CN,44.3,86.0333,44.58,76,99,5.77,overcast clouds
318,Kajaani,FI,64.2273,27.7285,46.45,81,40,5.75,scattered clouds
319,Danshui,CN,22.7984,114.4672,86.02,85,28,4.56,scattered clouds
320,Labuhan,ID,-6.8844,112.2051,77.41,76,57,12.15,broken clouds
321,Luang Prabang,LA,19.8856,102.1347,71.8,100,93,0.69,overcast clouds
322,Lumberton,US,34.6182,-79.0086,87.35,34,0,3.76,clear sky
323,Kamenka,RU,51.3223,42.7678,48.52,70,78,2.8,broken clouds
324,Kavieng,PG,-2.5744,150.7967,81.18,72,100,4.54,overcast clouds
325,Faridpur,BD,23.6,89.8333,84.2,87,70,8.39,broken clouds
326,Torbay,CA,47.6666,-52.7314,63.37,64,75,12.66,broken clouds
327,Kahului,US,20.8947,-156.47,84.97,76,10,10.0,clear sky
328,Imbituba,BR,-28.24,-48.6703,67.89,81,100,4.21,moderate rain
329,Fereydun Kenar,IR,36.6864,52.5225,68.9,66,97,4.76,overcast clouds
330,Coquimbo,CL,-29.9533,-71.3436,65.93,48,0,17.27,clear sky
331,Kontagora,NG,10.3999,5.4695,80.01,67,63,1.79,broken clouds
332,Morgan City,US,29.6994,-91.2068,82.0,82,100,7.4,overcast clouds
333,Hofn,IS,64.2539,-15.2082,46.36,76,100,19.98,overcast clouds
334,Dossor,KZ,47.5272,52.9811,48.43,31,0,3.47,clear sky
335,Lexington,US,37.9887,-84.4777,81.14,59,100,3.0,overcast clouds
336,Sioux Lookout,CA,50.1001,-91.917,59.38,100,90,4.61,light intensity drizzle
337,Iberia,US,29.9502,-91.7507,82.98,83,75,12.66,broken clouds
338,Bubaque,GW,11.2833,-15.8333,82.83,75,100,7.78,overcast clouds
