City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Warrnambool,AU,2021-09-26 15:27:54,-38.3833,142.4833,45.81,84,12,11.05
223,Kostomuksha,RU,2021-09-26 15:27:54,64.571,30.5767,45.73,89,60,2.91
224,Longyearbyen,SJ,2021-09-26 15:27:55,78.2186,15.6401,39.04,93,75,8.05
225,Hobyo,SO,2021-09-26 15:27:55,5.3505,48.5268,79.5,80,76,25.41
226,Marsh Harbour,BS,2021-09-26 15:27:56,26.5412,-77.0636,81.05,73,100,16.75
227,Pulandian,CN,2021-09-26 15:27:56,39.3953,121.9669,71.73,91,100,4.16
228,Kenai,US,2021-09-26 15:27:57,60.5544,-151.2583,35.15,93,1,3.44
229,Boende,CD,2021-09-26 15:27:57,-0.2167,20.8667,81.91,64,95,4.34
230,Bandrele,YT,2021-09-26 15:27:58,-12.9067,45.1914,76.75,69,0,6.91
231,Swan River,CA,2021-09-26 15:27:58,52.1058,-101.2676,49.89,76,7,4.61
232,Bolgatanga,GH,2021-09-26 15:27:58,10.7856,-0.8514,93.7,41,39,3.36
233,Lata,PT,2021-09-26 15:27:59,40.1629,-8.3327,78.49,50,96,7.9
234,Aklavik,CA,2021-09-26 15:27:59,68.2191,-135.0107,29.23,80,75,6.91
235,Mandalgovi,MN,2021-09-26 15:28:00,45.7625,106.2708,46.02,30,0,9.93
236,Pacific Grove,US,2021-09-26 15:28:00,36.6177,-121.9166,60.48,86,90,1.01
237,Bourail,NC,2021-09-26 15:28:01,-21.5667,165.4833,68.43,63,88,0.63
238,Fortuna,US,2021-09-26 15:28:01,40.5982,-124.1573,56.93,65,90,1.01
239,Varhaug,NO,2021-09-26 15:28:02,58.6147,5.6457,61.9,81,100,22.82
240,Lagoa,PT,2021-09-26 15:28:02,39.05,-27.9833,67.06,78,81,26.57
241,Gurupi,BR,2021-09-26 15:28:03,-11.7292,-49.0686,98.31,24,11,9.71
242,Tecolutla,MX,2021-09-26 15:28:03,20.4833,-97.0167,79.09,75,42,5.95
243,Banjar,ID,2021-09-26 15:28:04,-8.19,114.9675,80.46,88,19,6.46
244,Williams Lake,CA,2021-09-26 15:26:43,52.1415,-122.1445,53.17,81,75,1.01
245,Mount Gambier,AU,2021-09-26 15:28:04,-37.8333,140.7667,42.71,87,89,6.91
246,Aitape,PG,2021-09-26 15:28:05,-3.1374,142.3475,77.59,91,92,4.21
